Canada;France;Germany;Italy;Japan;United Kingdom;United States
7291;5186;3881;3172;1921;6939;9561
7533;5461;4206;3451;2126;7123;10116
7833;5564;4553;3591;2336;7091;10316
7984;5684;4905;3830;2474;7346;10613
7699;5915;5247;3947;2582;7619;10359
8201;6199;5797;4190;2771;7868;10897
8652;6448;6177;4368;2948;7929;10914
8607;6762;6492;4591;3136;8017;10920
8534;6855;6737;4823;3289;7966;10631
8676;6979;7177;5131;3554;8240;11230
8753;7398;7705;5456;3986;8645;11328
8833;7718;7952;5853;4426;8857;11402
9277;8067;8222;6203;4777;8865;11905
9566;8363;8386;6532;5129;9149;12242
9999;8819;8822;6728;5668;9568;12773
10473;9165;9186;6964;5934;9752;13419
10946;9544;9388;7366;6506;9885;14134
11078;9907;9397;7872;7152;10049;14330
11479;10267;9864;8382;7983;10410;14863
11912;10886;10440;8879;8874;10552;15179
12050;11410;10839;9367;9714;10767;15030
12562;11845;11077;9489;10040;10941;15304
13072;12264;11481;9795;10734;11294;15944
13838;12824;11966;10414;11434;12025;16689
14205;13113;12063;10914;11145;11859;16491
14316;12957;12041;10619;11344;11847;16284
14902;13466;12684;11308;11669;12115;16975
15223;13913;13072;11542;12064;12384;17567
15680;14240;13455;11869;12585;12828;18373
16170;14634;13993;12532;13163;13167;18789
16176;14766;14114;12927;13428;12931;18577
16472;14840;14149;13018;13754;12747;18856
15779;15132;14040;13064;14078;12955;18325
16076;15245;14329;13209;14307;13404;18920
16836;15382;14783;13634;14773;13720;20123
17582;15530;15140;14010;15331;14165;20717
17862;15833;15469;14408;15679;14742;21236
18348;16158;15701;14868;16251;15393;21788
18993;16790;16160;15485;17185;16110;22499
19108;17300;16558;15997;17943;16414;23059
18872;17647;15929;16313;18789;16430;23201
18262;17724;16650;16563;19347;16155;22833
18147;17880;16891;16634;19440;16133;23285
18309;17666;16645;16441;19417;16458;23640
18942;17978;17028;16762;19537;17118;24313
19238;18262;17299;17217;19872;17586;24637
19331;18373;17420;17378;20343;18044;25263
19962;18690;17709;17676;20617;19115;26074
20612;19233;18029;17909;20154;19724;26893
21563;19771;18380;18141;20070;20269;27870
22488;20392;18944;18761;20481;21046;28702
22687;20648;19157;19062;20500;21567;28726
23155;20720;19140;19100;20517;22008;28977
23407;20789;19088;19007;20833;22763;29459
23953;21193;19284;19211;21301;23307;30200
24484;21450;19417;19284;21575;23810;30842
24967;21842;20041;19630;21938;24285;31358
25300;22202;20547;19842;22410;25002;31655
25262;22057;20801;19460;22175;24602;31251
24361;21244;19790;18279;20963;23489;29899
24941;21477;20661;18520;21935;23777;30491
