"","Data","Conv?","Perc.","Avg..d_1","Avg..d_2","Avg..P_11","Avg..P_22","Avg..Sigma","Avg..mu_1","Avg..mu_2"
"1","1930","C",0.037,0.899,NA,0.999,NA,0.055,0.678,NA
"2","1930","D",0.221,1.219,NA,0.999,NA,0.053,0.786,NA
"3","1930","C - C",0.03,0.894,-0.159,0.968,0.897,0.047,0.351,0.228
"4","1930","C - D",0.368,1.356,0.039,0.976,0.897,0.049,0.345,0.367
"5","1930","D - D",0.344,1.61,1.224,0.887,0.966,0.049,0.203,0.27
"6","1940","C",0.03,0.92,NA,0.999,NA,0.056,0.752,NA
"7","1940","D",0.295,1.25,NA,0.999,NA,0.048,0.544,NA
"8","1940","C - C",0.029,0.93,-0.76,0.978,0.845,0.043,0.459,0.391
"9","1940","C - D",0.371,1.382,-0.484,0.978,0.893,0.042,0.342,0.386
"10","1940","D - D",0.275,1.734,1.255,0.892,0.96,0.045,0.154,0.118
"11","1950","C",0.05,0.913,NA,0.999,NA,0.062,0.823,NA
"12","1950","D",0.588,1.273,NA,0.999,NA,0.055,0.704,NA
"13","1950","C - C",0.006,0.908,0.337,0.958,0.909,0.058,0.408,0.372
"14","1950","C - D",0.205,1.335,-0.032,0.977,0.913,0.055,0.378,0.49
"15","1950","D - D",0.151,1.533,1.225,0.92,0.953,0.054,0.121,0.431
"16","Europe","C",0.043,0.917,NA,0.999,NA,0.042,0.914,NA
"17","Europe","D",0.632,1.274,NA,0.999,NA,0.033,0.07,NA
"18","Europe","C - C",0,NA,NA,NA,NA,NA,NA,NA
"19","Europe","C - D",0.186,1.358,-0.332,0.983,0.924,0.029,0.136,0.119
"20","Europe","D - D",0.139,1.544,1.259,0.913,0.967,0.032,-0.265,-0.332
"21","Europe+G7","C",0.047,0.922,NA,0.999,NA,0.037,0.765,NA
"22","Europe+G7","D",0.62,1.286,NA,0.999,NA,0.033,0.2,NA
"23","Europe+G7","C - C",0,NA,NA,NA,NA,NA,NA,NA
"24","Europe+G7","C - D",0.203,1.339,-0.508,0.983,0.918,0.029,0.285,0.254
"25","Europe+G7","D - D",0.13,1.544,1.251,0.919,0.959,0.029,-0.075,-0.002
"26","Europe+S&P","C",0.024,0.929,NA,0.999,NA,0.044,0.777,NA
"27","Europe+S&P","D",0.682,1.308,NA,0.999,NA,0.039,0.564,NA
"28","Europe+S&P","C - C",0,NA,NA,NA,NA,NA,NA,NA
"29","Europe+S&P","C - D",0.156,1.369,-0.171,0.982,0.915,0.036,0.297,0.334
"30","Europe+S&P","D - D",0.138,1.531,1.247,0.931,0.955,0.037,-0.201,0.129
"31","G7+S&P","C",0.037,0.952,NA,0.999,NA,0.043,0.793,NA
"32","G7+S&P","D",0.714,1.32,NA,0.999,NA,0.041,0.538,NA
"33","G7+S&P","C - C",0,NA,NA,NA,NA,NA,NA,NA
"34","G7+S&P","C - D",0.132,1.353,-0.091,0.98,0.91,0.036,0.414,0.476
"35","G7+S&P","D - D",0.117,1.477,1.243,0.938,0.941,0.035,-0.083,0.059
