"","Data","Conv?","Perc.","Avg..d_1","Avg..d_2","Avg..P_11","Avg..P_22","Avg..Sigma","Avg..mu_1"
"1","1930","C",0.092,0.917,NA,0.998,NA,0.067,0.887
"2","1930","D",0.432,1.199,NA,0.999,NA,0.067,0.38
"3","1930","C - C",0.022,0.944,0.096,0.99,0.874,0.058,0.742
"4","1930","C - D",0.362,1.281,0.465,0.981,0.882,0.057,0.378
"5","1930","D - D",0.092,1.531,1.2,0.886,0.946,0.048,0.514
"6","1940","C",0.081,0.907,NA,0.998,NA,0.07,0.776
"7","1940","D",0.541,1.214,NA,0.999,NA,0.058,0.413
"8","1940","C - C",0.025,0.958,0.113,0.987,0.853,0.058,0.733
"9","1940","C - D",0.263,1.385,0.151,0.98,0.907,0.055,0.243
"10","1940","D - D",0.089,1.681,1.232,0.906,0.967,0.048,0.159
"11","1950","C",0.077,0.894,NA,0.997,NA,0.068,0.764
"12","1950","D",0.687,1.259,NA,0.999,NA,0.058,0.567
"13","1950","C - C",0.013,0.925,0.485,0.983,0.844,0.067,1.453
"14","1950","C - D",0.183,1.246,0.356,0.985,0.871,0.065,0.665
"15","1950","D - D",0.041,1.325,1.136,0.976,0.871,0.053,0.726
"16","Europe","C",0.056,0.904,NA,0.999,NA,0.044,0.212
"17","Europe","D",0.775,1.249,NA,0.999,NA,0.034,0.146
"18","Europe","C - C",0.004,0.956,0.754,0.982,0.897,0.039,1.208
"19","Europe","C - D",0.108,1.298,0.523,0.982,0.879,0.03,-0.155
"20","Europe","D - D",0.056,1.363,1.17,0.971,0.89,0.033,-0.681
"21","Europe+G7","C",0.063,0.916,NA,0.999,NA,0.044,0.322
"22","Europe+G7","D",0.787,1.26,NA,0.999,NA,0.034,0.225
"23","Europe+G7","C - C",0.007,0.946,0.752,0.991,0.875,0.042,1.371
"24","Europe+G7","C - D",0.103,1.256,0.511,0.982,0.878,0.029,0.165
"25","Europe+G7","D - D",0.04,1.382,1.193,0.971,0.883,0.032,-0.359
"26","Europe+S&P","C",0.039,0.912,NA,0.999,NA,0.048,-1.216
"27","Europe+S&P","D",0.803,1.278,NA,0.999,NA,0.041,0.496
"28","Europe+S&P","C - C",0.002,0.956,0.754,0.982,0.897,0.039,1.208
"29","Europe+S&P","C - D",0.111,1.301,0.514,0.98,0.885,0.039,0.391
"30","Europe+S&P","D - D",0.045,1.359,1.158,0.976,0.878,0.038,0.177
"31","G7+S&P","C",0.049,0.944,NA,0.998,NA,0.048,-2.383
"32","G7+S&P","D",0.815,1.287,NA,0.999,NA,0.042,0.442
"33","G7+S&P","C - C",0,NA,NA,NA,NA,NA,NA
"34","G7+S&P","C - D",0.102,1.229,0.628,0.982,0.89,0.04,0.534
"35","G7+S&P","D - D",0.034,1.391,1.154,0.984,0.887,0.042,0.785
